Date/Time UTC,Dalmore Prime,Dalmore Rapid No 2
2017-08-11 23:02:00,0.0787320693477907,0.15406833599141564
2017-08-11 23:03:00,0.08398431948151965,0.1456604661076124
2017-08-11 23:04:00,0.07191641880525203,0.18231995472685553
2017-08-11 23:05:00,0.07733663757794408,0.17837325356636255
2017-08-11 23:06:00,0.07543083955894034,0.1903456487068497
2017-08-11 23:07:00,0.06966176284378668,0.1836281722437406
2017-08-11 23:08:00,0.08935285559606905,0.19113939866091545
2017-08-11 23:09:00,0.10023851546732745,0.1902354056576731
2017-08-11 23:10:00,0.09018623845861656,0.19032360009701466
2017-08-11 23:11:00,0.0783767510730613,0.19856243063874873
2017-08-11 23:12:00,0.0624907940265186,0.19900340283545034
2017-08-11 23:13:00,0.07543083955894034,0.19208748888382582
