Date/Time(UTC), Geomagnetic Activity
1547647156,15.018
1547647171,15.018
1547647187,14.940
1547647202,14.940
1547647217,14.940
1547647232,14.883
1547647247,14.875
1547647262,14.761
1547647277,14.849
1547647292,14.761
1547647307,14.849
1547647322,14.850
1547647337,14.893
1547647352,14.850
1547647368,14.786
1547647383,14.786
1547647398,14.915
1547647413,14.915
1547647428,15.103
1547647443,15.118
1547647458,15.118
1547647473,15.118
1547647488,15.017
1547647503,15.172
1547647518,15.154
1547647533,15.154
1547647548,15.112
1547647564,15.112
1547647579,15.149
1547647594,15.339
1547647609,15.339
1547647624,15.431
1547647639,15.315
1547647654,15.367
1547647669,15.367
1547647684,15.367
1547647699,15.333
1547647714,15.333
1547647729,15.333
1547647745,15.343
1547647760,15.326
1547647775,15.343
1547647790,15.526
1547647805,15.546
1547647820,15.546
1547647835,15.507
1547647850,15.456
1547647865,15.456
1547647880,15.472
1547647895,15.503
1547647910,15.503
1547647925,15.590
1547647941,15.456
1547647956,15.562
1547647971,15.562
1547647986,15.562
1547648001,15.525
1547648016,15.525
1547648031,15.607
1547648046,15.607
1547648061,15.568
1547648076,15.522
1547648091,15.518
1547648106,15.518
1547648121,15.518
1547648137,15.524
1547648152,15.533
1547648167,15.524
1547648182,15.289
1547648197,15.289
1547648212,15.165
1547648227,15.333
1547648242,15.129
1547648257,15.204
1547648272,15.126
1547648287,15.126
1547648302,15.064
1547648318,15.049
1547648333,15.047
1547648348,14.894
1547648363,14.894
1547648378,14.728
1547648393,14.450
1547648408,14.413
1547648423,14.058
1547648438,13.967
1547648453,13.967
1547648468,13.967
1547648483,13.971
1547648498,13.972
1547648514,14.007
1547648529,14.161
1547648544,14.194
1547648559,14.194
1547648574,14.482
1547648589,14.482
1547648604,14.529
1547648619,14.529
1547648634,14.574
1547648649,14.574
1547648664,14.129
1547648679,14.129
1547648695,14.465
1547648710,14.465
1547648725,14.392
1547648740,14.392
1547648755,14.414
1547648770,14.512
1547648785,14.512
1547648800,14.429
1547648815,14.429
1547648830,14.487
1547648845,14.492
1547648860,14.663
1547648875,14.681
1547648891,14.715
1547648906,14.864
1547648921,14.893
1547648936,14.924
1547648951,14.893
1547648966,15.054
1547648981,14.824
1547648996,14.824
1547649011,14.779
1547649026,14.779
1547649041,15.317
1547649056,15.322
1547649072,15.340
1547649087,15.349
1547649102,15.356
1547649117,15.357
1547649132,15.394
1547649147,15.556
1547649162,15.682
1547649177,15.682
1547649192,15.785
1547649207,15.785
1547649222,15.844
1547649237,15.903
1547649252,15.956
1547649268,16.014
1547649283,16.185
1547649298,16.204
1547649313,16.206
1547649328,16.451
1547649343,16.451
1547649358,16.285
1547649373,16.285
1547649388,16.314
1547649403,16.329
1547649418,16.508
1547649433,16.581
1547649449,16.603
1547649464,16.733
1547649479,16.746
1547649494,16.799
1547649509,16.799
1547649524,16.790
1547649539,16.790
1547649554,16.894
1547649569,17.057
1547649584,17.104
1547649599,17.200
1547649614,17.310
1547649629,17.343
1547649645,17.343
1547649660,17.439
1547649675,17.439
1547649690,17.444
1547649705,17.567
1547649720,17.589
1547649735,17.653
1547649750,18.025
1547649765,18.214
1547649780,18.265
1547649795,18.394
1547649810,18.394
1547649826,18.485
1547649841,18.504
1547649856,18.607
1547649871,18.692
1547649886,18.783
1547649901,18.965
1547649916,18.850
1547649931,18.850
1547649946,18.850
1547649961,18.896
1547649976,19.146
1547649991,19.146
1547650006,19.231
1547650022,19.292
1547650037,19.350
1547650052,19.292
1547650067,19.190
1547650082,19.117
1547650097,19.190
1547650112,19.317
1547650127,19.344
1547650142,19.344
1547650157,19.433
1547650172,19.596
1547650187,19.646
1547650203,19.831
1547650218,19.900
1547650233,19.901
1547650248,19.901
1547650263,19.736
1547650278,19.736
1547650293,19.810
1547650308,20.064
1547650323,19.854
1547650338,20.060
1547650353,19.892
1547650368,20.006
1547650383,20.006
1547650399,20.029
1547650414,20.029
1547650429,20.115
1547650444,20.008
1547650459,20.018
1547650474,20.018
1547650489,20.076
1547650504,20.111
1547650519,20.251
1547650534,20.251
1547650549,20.251
1547650564,20.361
1547650580,20.361
1547650595,20.361
1547650610,20.376
1547650625,20.432
1547650640,20.625
1547650655,20.625
1547650670,20.568
1547650685,20.568
1547650700,20.732
1547650715,20.760
1547650730,20.760
1547650745,20.582
1547650760,20.582
1547650776,20.640
1547650791,20.678
1547650806,20.690
1547650821,20.690
1547650836,20.782
1547650851,20.782
1547650866,20.803
1547650881,20.900
1547650896,20.835
1547650911,20.904
1547650926,20.904
1547650941,21.060
1547650957,21.121
1547650972,21.254
1547650987,21.357
1547651002,21.371
1547651017,21.707
1547651032,21.707
1547651047,21.721
1547651062,21.774
1547651077,21.889
1547651092,21.889
1547651107,21.835
1547651122,21.835
1547651137,21.642
1547651153,21.864
1547651168,21.878
1547651183,21.878
1547651198,21.878
1547651213,21.967
1547651228,21.967
1547651243,21.967
1547651258,22.118
1547651273,22.178
1547651288,22.178
1547651303,22.178
1547651318,22.018
1547651334,22.021
1547651349,22.014
1547651364,22.021
1547651379,22.039
1547651394,22.062
1547651409,22.092
1547651424,22.092
1547651439,22.092
1547651454,22.121
1547651469,22.060
1547651484,22.121
1547651499,22.158
1547651514,22.158
1547651530,21.976
1547651545,21.976
1547651560,22.022
1547651575,22.096
1547651590,22.096
1547651605,22.183
1547651620,22.183
1547651635,22.183
1547651650,22.329
1547651665,22.176
1547651680,22.176
1547651695,22.149
1547651710,22.133
1547651726,22.043
1547651741,22.043
1547651756,22.154
1547651771,22.154
1547651786,22.067
1547651801,22.018
1547651816,22.018
1547651831,22.018
1547651846,21.861
1547651861,21.861
1547651876,21.750
1547651891,21.750
1547651906,21.549
1547651922,21.549
1547651937,21.496
1547651952,21.496
1547651967,21.496
1547651982,21.528
1547651997,21.528
1547652012,21.561
1547652027,21.481
1547652042,21.456
1547652057,21.432
1547652072,21.432
1547652087,21.485
1547652103,21.485
1547652118,21.172
1547652133,21.172
1547652148,21.075
1547652163,21.256
1547652178,21.146
1547652193,21.149
1547652208,21.149
1547652223,21.339
1547652238,21.339
1547652253,21.276
1547652268,21.212
1547652283,21.197
1547652299,21.096
1547652314,21.197
1547652329,21.293
1547652344,21.312
1547652359,21.312
1547652374,21.312
1547652389,21.326
1547652404,21.326
1547652419,21.326
1547652434,21.558
1547652449,21.706
1547652464,21.761
1547652480,21.801
1547652495,21.824
1547652510,21.824
1547652525,21.753
1547652540,21.629
1547652555,21.731
1547652570,21.731
1547652585,21.890
1547652600,21.890
1547652615,21.890
1547652630,22.075
1547652645,22.139
1547652660,22.079
1547652676,22.158
1547652691,22.199
1547652706,22.417
1547652721,22.496
1547652736,22.496
1547652751,22.367
1547652766,22.367
1547652781,22.451
1547652796,22.565
1547652811,22.679
1547652826,22.717
1547652841,22.999
1547652857,23.031
1547652872,23.311
1547652887,23.136
1547652902,23.292
1547652917,23.143
1547652932,23.292
1547652947,23.144
1547652962,23.178
1547652977,23.178
1547652992,23.232
1547653007,23.232
1547653022,23.194
1547653037,23.194
1547653053,23.174
1547653068,23.264
1547653083,23.422
1547653098,23.425
1547653113,23.425
1547653128,23.425
1547653143,23.478
1547653158,23.493
1547653173,23.649
1547653188,23.732
1547653203,23.862
1547653218,23.893
1547653234,24.194
1547653249,24.194
1547653264,24.260
1547653279,24.260
1547653294,24.260
1547653309,24.269
1547653324,24.269
1547653339,24.368
1547653354,24.413
1547653369,24.413
1547653384,24.158
1547653399,24.158
1547653414,24.081
1547653430,24.069
1547653445,23.974
1547653460,23.928
1547653475,23.974
1547653490,23.861
1547653505,24.001
1547653520,23.953
1547653535,23.953
1547653550,23.861
1547653565,23.861
1547653580,23.861
1547653595,23.690
1547653611,23.690
1547653626,23.857
1547653641,23.899
1547653656,23.964
1547653671,23.964
1547653686,23.964
1547653701,23.874
1547653716,24.035
1547653731,24.093
1547653746,24.093
1547653761,24.050
1547653776,23.837
1547653791,23.763
1547653807,23.678
1547653822,23.678
1547653837,23.678
1547653852,23.644
1547653867,23.683
1547653882,23.618
1547653897,23.618
1547653912,23.567
1547653927,23.567
1547653942,23.804
1547653957,23.804
1547653972,23.804
1547653987,23.814
1547654003,23.814
1547654018,24.032
1547654033,24.001
1547654048,24.032
1547654063,24.115
1547654078,24.115
1547654093,24.204
1547654108,24.096
1547654123,24.260
1547654138,24.168
1547654153,24.168
1547654168,24.168
1547654184,24.568
1547654199,24.607
1547654214,24.607
1547654229,24.607
1547654244,24.622
1547654259,24.850
1547654274,24.850
1547654289,24.982
1547654304,24.982
1547654319,25.024
1547654334,25.024
1547654349,24.956
1547654364,24.956
1547654380,24.944
1547654395,25.042
1547654410,24.936
1547654425,25.042
1547654440,25.244
1547654455,25.289
1547654470,25.289
1547654485,25.344
1547654500,25.371
1547654515,25.604
1547654530,25.471
1547654545,25.606
1547654561,25.804
1547654576,25.874
1547654591,25.921
1547654606,25.951
1547654621,26.337
1547654636,26.372
1547654651,26.490
1547654666,26.567
1547654681,26.567
1547654696,26.490
1547654711,26.490
1547654726,26.546
1547654741,26.590
1547654757,26.590
1547654772,26.636
1547654787,26.636
1547654802,26.544
1547654817,26.376
1547654832,26.376
1547654847,26.685
1547654862,26.731
1547654877,26.731
1547654892,26.663
1547654907,26.663
1547654922,26.829
1547654938,27.008
1547654953,27.008
1547654968,27.100
1547654983,27.206
1547654998,27.206
1547655013,27.331
1547655028,27.156
1547655043,27.301
1547655058,27.156
1547655073,27.131
1547655088,27.131
1547655103,27.233
1547655118,27.483
1547655134,27.483
1547655149,27.453
1547655164,27.453
1547655179,27.707
1547655194,27.744
1547655209,27.817
1547655224,27.744
1547655239,27.753
1547655254,27.733
1547655269,27.753
1547655284,27.972
1547655299,28.028
1547655314,28.028
1547655330,28.028
1547655345,28.124
1547655360,28.124
1547655375,28.057
1547655390,27.800
1547655405,27.800
1547655420,27.942
1547655435,28.087
1547655450,28.179
1547655465,28.087
1547655480,27.990
1547655495,27.990
1547655510,28.157
1547655526,28.256
1547655541,28.256
1547655556,28.149
1547655571,28.149
1547655586,28.154
1547655601,28.161
1547655616,28.161
1547655631,28.161
1547655646,28.136
1547655661,28.019
1547655676,27.950
1547655691,27.950
1547655707,27.950
1547655722,27.786
1547655737,27.786
1547655752,27.850
1547655767,27.996
1547655782,28.217
1547655797,28.217
1547655812,28.419
1547655827,28.419
1547655842,28.408
1547655857,28.401
1547655872,28.292
1547655887,28.292
1547655903,28.222
1547655918,28.147
1547655933,28.147
1547655948,28.315
1547655963,28.315
1547655978,28.190
1547655993,28.190
1547656008,28.274
1547656023,28.515
1547656038,28.967
1547656053,29.099
1547656068,29.393
1547656084,29.524
1547656099,29.540
1547656114,29.524
1547656129,29.257
1547656144,29.046
1547656159,28.924
1547656174,28.611
1547656189,28.611
1547656204,28.485
1547656219,28.408
1547656234,28.408
1547656249,28.538
1547656264,28.538
1547656280,28.542
1547656295,28.533
1547656310,28.542
1547656325,28.593
1547656340,28.593
1547656355,28.551
1547656370,28.546
1547656385,28.551
1547656400,28.546
1547656415,28.639
1547656430,28.543
1547656445,28.560
1547656461,28.560
1547656476,28.560
1547656491,28.612
1547656506,28.528
1547656521,28.444
1547656536,28.444
1547656551,28.493
1547656566,28.660
1547656581,28.689
1547656596,28.837
1547656611,28.837
1547656626,28.837
1547656641,28.790
1547656657,28.917
1547656672,28.822
1547656687,28.964
1547656702,28.822
1547656717,28.971
1547656732,28.971
1547656747,28.971
1547656762,28.990
1547656777,29.065
1547656792,29.065
1547656807,28.967
1547656822,28.950
1547656837,28.849
1547656853,28.715
1547656868,28.592
1547656883,28.536
1547656898,28.569
1547656913,28.536
1547656928,28.361
1547656943,28.304
1547656958,28.304
1547656973,28.217
1547656988,28.692
1547657003,28.499
1547657018,28.503
1547657034,28.503
1547657049,28.897
1547657064,29.397
1547657079,29.397
1547657094,29.268
1547657109,29.268
1547657124,29.268
1547657139,29.212
1547657154,29.212
1547657169,29.436
1547657184,29.436
1547657199,29.389
1547657214,29.389
1547657230,29.556
1547657245,29.576
1547657260,29.556
1547657275,29.576
1547657290,29.586
1547657305,29.615
1547657320,29.899
1547657335,29.899
1547657350,29.915
1547657365,29.968
1547657380,29.994
1547657395,30.183
1547657411,30.183
1547657426,30.208
1547657441,30.242
1547657456,30.276
1547657471,30.242
1547657486,30.397
1547657501,30.138
1547657516,30.132
1547657531,30.132
1547657546,30.132
1547657561,30.263
1547657576,30.186
1547657591,30.186
1547657607,30.115
1547657622,30.114
1547657637,30.115
1547657652,30.081
1547657667,30.081
1547657682,29.811
1547657697,29.811
1547657712,29.811
1547657727,29.731
1547657742,29.731
1547657757,29.728
1547657772,29.686
1547657788,29.686
1547657803,29.678
1547657818,29.475
1547657833,29.475
1547657848,29.475
1547657863,29.546
1547657878,29.335
1547657893,29.272
1547657908,29.272
1547657923,29.354
1547657938,29.354
1547657953,29.306
1547657968,29.211
1547657984,29.211
1547657999,29.114
1547658014,29.043
1547658029,28.944
1547658044,28.815
1547658059,28.663
1547658074,28.354
1547658089,28.354
1547658104,28.354
1547658119,28.147
1547658134,28.053
1547658149,28.025
1547658165,27.833
1547658180,27.740
1547658195,27.668
1547658210,27.668
1547658225,27.668
1547658240,27.760
1547658255,27.690
1547658270,27.822
1547658285,27.733
1547658300,27.733
1547658315,27.626
1547658330,27.557
1547658345,27.557
1547658361,27.522
1547658376,27.517
1547658391,27.431
1547658406,27.369
1547658421,27.431
1547658436,27.218
1547658451,27.321
1547658466,27.271
1547658481,27.271
1547658496,27.179
1547658511,27.153
1547658526,27.153
1547658542,27.057
1547658557,27.008
1547658572,27.008
1547658587,26.994
1547658602,26.915
1547658617,26.915
1547658632,26.829
1547658647,26.799
1547658662,26.753
1547658677,26.651
1547658692,26.599
1547658707,26.599
1547658722,26.633
1547658738,26.640
1547658753,26.633
1547658768,26.685
1547658783,26.575
1547658798,26.685
1547658813,26.753
1547658828,26.786
1547658843,26.786
1547658858,26.786
1547658873,26.794
1547658888,26.797
1547658903,26.850
1547658918,26.881
1547658934,27.010
1547658949,27.051
1547658964,27.174
1547658979,27.174
1547658994,27.174
1547659009,27.289
1547659024,27.289
1547659039,27.385
1547659054,27.243
1547659069,27.243
1547659084,27.243
1547659099,27.221
1547659114,27.083
1547659130,27.083
1547659145,27.364
1547659160,27.364
1547659175,26.951
1547659190,26.913
1547659205,26.942
1547659220,26.942
1547659235,27.000
1547659250,27.051
1547659265,27.164
1547659280,27.225
1547659295,27.225
1547659311,27.225
1547659326,27.346
1547659341,27.164
1547659356,27.164
1547659371,27.164
1547659386,27.272
1547659401,27.401
1547659416,27.272
1547659431,27.140
1547659446,27.140
1547659461,27.310
1547659476,27.310
1547659491,27.310
1547659507,27.292
1547659522,27.250
1547659537,27.250
1547659552,27.250
1547659567,27.265
1547659582,27.178
1547659597,27.178
1547659612,27.178
1547659627,27.158
1547659642,27.183
1547659657,27.157
1547659672,27.183
1547659687,27.267
1547659703,27.267
1547659718,27.187
1547659733,27.126
1547659748,27.065
1547659763,27.021
