Date/time UTC, Differences
2017-10-24 00:57:42.25,-0.030825
2017-10-24 00:57:59.17,-0.0293725
2017-10-24 00:58:16.10,-0.0283775
2017-10-24 00:58:33.02,-0.0287575
2017-10-24 00:58:49.94,-0.0292225
2017-10-24 00:59:06.87,-0.029985
2017-10-24 00:59:23.80,-0.0308225
2017-10-24 00:59:40.72,-0.0307825
2017-10-24 00:59:57.65,-0.03140
2017-10-24 01:00:14.58,-0.031525
2017-10-24 01:00:31.51,-0.0351775
2017-10-24 01:00:48.43,-0.0388825
2017-10-24 01:01:05.35,-0.0426375
2017-10-24 01:01:22.28,-0.046335
2017-10-24 01:01:39.20,-0.05111
2017-10-24 01:01:56.13,-0.0560925
2017-10-24 01:02:13.05,-0.0606325
2017-10-24 01:02:29.99,-0.065015
2017-10-24 01:02:46.92,-0.0690275
2017-10-24 01:03:03.85,-0.0715825
2017-10-24 01:03:20.79,-0.074575
2017-10-24 01:03:37.72,-0.0787625
2017-10-24 01:03:54.65,-0.081985
2017-10-24 01:04:11.58,-0.0831075
2017-10-24 01:04:28.50,-0.08452
2017-10-24 01:04:45.43,-0.08644
2017-10-24 01:05:02.36,-0.0883425
2017-10-24 01:05:19.29,-0.08984
2017-10-24 01:05:36.22,-0.0904975
2017-10-24 01:05:53.15,-0.091295
2017-10-24 01:06:10.07,-0.090575
2017-10-24 01:06:27.00,-0.089495
2017-10-24 01:06:43.93,-0.089885
2017-10-24 01:07:00.87,-0.0888175
2017-10-24 01:07:17.80,-0.0867825
2017-10-24 01:07:34.74,-0.084885
2017-10-24 01:07:51.67,-0.082725
2017-10-24 01:08:08.61,-0.08159
2017-10-24 01:08:25.54,-0.0813575
2017-10-24 01:08:42.47,-0.0820725
2017-10-24 01:08:59.40,-0.0820825
2017-10-24 01:09:16.34,-0.0828675
2017-10-24 01:09:33.28,-0.084815
2017-10-24 01:09:50.21,-0.0881675
2017-10-24 01:10:07.14,-0.0908725
2017-10-24 01:10:24.06,-0.0918575
2017-10-24 01:10:40.99,-0.09228
2017-10-24 01:10:57.92,-0.09374
2017-10-24 01:11:14.86,-0.0949225
2017-10-24 01:11:31.79,-0.094925
2017-10-24 01:11:48.73,-0.0939875
2017-10-24 01:12:05.66,-0.0926325
2017-10-24 01:12:22.60,-0.0891375
2017-10-24 01:12:39.54,-0.087815
2017-10-24 01:12:56.48,-0.086275
2017-10-24 01:13:13.42,-0.08360
2017-10-24 01:13:30.36,-0.080245
2017-10-24 01:13:47.31,-0.07639
2017-10-24 01:14:04.26,-0.071795
2017-10-24 01:14:21.21,-0.066145
2017-10-24 01:14:38.16,-0.06038
2017-10-24 01:14:55.11,-0.05205
2017-10-24 01:15:12.06,-0.0430075
2017-10-24 01:15:29.00,-0.03371
2017-10-24 01:15:45.95,-0.0258525
2017-10-24 01:16:02.90,-0.0195275
2017-10-24 01:16:19.85,-0.01383
2017-10-24 01:16:36.79,-0.0088475
2017-10-24 01:16:53.74,-0.0050375
2017-10-24 01:17:10.68,-0.00213
2017-10-24 01:17:27.62,-0.0011675
2017-10-24 01:17:44.56,-0.0018525
2017-10-24 01:18:01.50,-0.0044325
2017-10-24 01:18:18.45,-0.005065
2017-10-24 01:18:35.39,-0.0064325
2017-10-24 01:18:52.33,-0.0088625
2017-10-24 01:19:09.28,-0.01182
2017-10-24 01:19:26.23,-0.01298
2017-10-24 01:19:43.17,-0.0137525
2017-10-24 01:20:00.11,-0.0159225
2017-10-24 01:20:17.06,-0.01850
2017-10-24 01:20:34.01,-0.0217925
2017-10-24 01:20:50.95,-0.025165
2017-10-24 01:21:07.90,-0.02832
2017-10-24 01:21:24.85,-0.0297375
2017-10-24 01:21:41.79,-0.0293925
2017-10-24 01:21:58.74,-0.02858
2017-10-24 01:22:15.68,-0.026125
2017-10-24 01:22:32.63,-0.0230675
2017-10-24 01:22:49.57,-0.019555
2017-10-24 01:23:06.52,-0.0147425
2017-10-24 01:23:23.46,-0.008675
2017-10-24 01:23:40.41,-0.0014675
2017-10-24 01:23:57.36,0.005015
2017-10-24 01:24:14.31,0.01143
2017-10-24 01:24:31.25,0.0184925
2017-10-24 01:24:48.20,0.0257875
2017-10-24 01:25:05.15,0.0313525
2017-10-24 01:25:22.09,0.03659
2017-10-24 01:25:39.04,0.0443225
2017-10-24 01:25:55.98,0.05119
2017-10-24 01:26:12.93,0.05613
2017-10-24 01:26:29.87,0.06049
2017-10-24 01:26:46.82,0.06503
2017-10-24 01:27:03.76,0.06844
2017-10-24 01:27:20.71,0.0693425
2017-10-24 01:27:37.65,0.070425
2017-10-24 01:27:54.59,0.0720675
2017-10-24 01:28:11.54,0.07410
2017-10-24 01:28:28.47,0.0754975
2017-10-24 01:28:45.42,0.076435
2017-10-24 01:29:02.36,0.076765
2017-10-24 01:29:19.30,0.0775975
2017-10-24 01:29:36.24,0.0775225
2017-10-24 01:29:53.18,0.078365
2017-10-24 01:30:10.13,0.078325
2017-10-24 01:30:27.06,0.07816
2017-10-24 01:30:43.99,0.0778575
2017-10-24 01:31:00.93,0.0759075
2017-10-24 01:31:17.87,0.0706325
2017-10-24 01:31:34.82,0.0665725
2017-10-24 01:31:51.76,0.0650125
2017-10-24 01:32:08.70,0.0638375
2017-10-24 01:32:25.64,0.0606325
2017-10-24 01:32:42.57,0.05692
2017-10-24 01:32:59.50,0.0539225
2017-10-24 01:33:16.44,0.04977
2017-10-24 01:33:33.37,0.0431925
2017-10-24 01:33:50.30,0.0350825
2017-10-24 01:34:07.24,0.027255
2017-10-24 01:34:24.17,0.0190625
2017-10-24 01:34:41.10,0.010895
2017-10-24 01:34:58.03,0.0006875
2017-10-24 01:35:14.96,-0.0085325
2017-10-24 01:35:31.89,-0.0177725
2017-10-24 01:35:48.82,-0.02514
2017-10-24 01:36:05.75,-0.0335675
2017-10-24 01:36:22.68,-0.040855
2017-10-24 01:36:39.62,-0.045885
2017-10-24 01:36:56.55,-0.04804
2017-10-24 01:37:13.49,-0.05002
2017-10-24 01:37:30.42,-0.0521025
2017-10-24 01:37:47.36,-0.0524375
2017-10-24 01:38:04.31,-0.0496125
2017-10-24 01:38:21.24,-0.04577
2017-10-24 01:38:38.18,-0.04073
2017-10-24 01:38:55.13,-0.0342525
2017-10-24 01:39:12.07,-0.0268225
2017-10-24 01:39:29.01,-0.019435
2017-10-24 01:39:45.95,-0.01338
2017-10-24 01:40:02.90,-0.00704
2017-10-24 01:40:19.84,0.000875
2017-10-24 01:40:36.78,0.0103025
2017-10-24 01:40:53.72,0.0179275
2017-10-24 01:41:10.66,0.0239675
2017-10-24 01:41:27.60,0.0279275
2017-10-24 01:41:44.54,0.0335625
2017-10-24 01:42:01.47,0.0376275
2017-10-24 01:42:18.40,0.040005
2017-10-24 01:42:35.33,0.039715
2017-10-24 01:42:52.27,0.037815
2017-10-24 01:43:09.20,0.0353075
2017-10-24 01:43:26.14,0.0308825
2017-10-24 01:43:43.06,0.024475
2017-10-24 01:44:00.00,0.017195
2017-10-24 01:44:16.93,0.0082125
2017-10-24 01:44:33.87,-0.001155
2017-10-24 01:44:50.79,-0.0093925
2017-10-24 01:45:07.72,-0.01599
2017-10-24 01:45:24.66,-0.021705
2017-10-24 01:45:41.59,-0.02799
2017-10-24 01:45:58.52,-0.03489
2017-10-24 01:46:15.46,-0.042145
2017-10-24 01:46:32.39,-0.0476175
2017-10-24 01:46:49.33,-0.051945
2017-10-24 01:47:06.26,-0.05503
2017-10-24 01:47:23.20,-0.058455
2017-10-24 01:47:40.14,-0.0618725
2017-10-24 01:47:57.08,-0.06383
2017-10-24 01:48:14.02,-0.0634775
2017-10-24 01:48:30.95,-0.06220
2017-10-24 01:48:47.89,-0.0623725
2017-10-24 01:49:04.83,-0.06263
2017-10-24 01:49:21.77,-0.0620425
2017-10-24 01:49:38.71,-0.060615
2017-10-24 01:49:55.65,-0.05814
2017-10-24 01:50:12.59,-0.056255
2017-10-24 01:50:29.53,-0.05539
2017-10-24 01:50:46.48,-0.0545475
2017-10-24 01:51:03.43,-0.0531725
2017-10-24 01:51:20.37,-0.0511525
2017-10-24 01:51:37.32,-0.05002
2017-10-24 01:51:54.27,-0.0491725
2017-10-24 01:52:11.22,-0.04886
2017-10-24 01:52:28.16,-0.048105
2017-10-24 01:52:45.11,-0.0482475
2017-10-24 01:53:02.06,-0.0493325
2017-10-24 01:53:19.00,-0.0496725
2017-10-24 01:53:35.95,-0.05155
2017-10-24 01:53:52.90,-0.054805
2017-10-24 01:54:09.85,-0.0569125
2017-10-24 01:54:26.80,-0.0581025
2017-10-24 01:54:43.75,-0.0603375
2017-10-24 01:55:00.70,-0.06303
2017-10-24 01:55:17.66,-0.065245
2017-10-24 01:55:34.61,-0.067195
2017-10-24 01:55:51.55,-0.0698475
2017-10-24 01:56:08.50,-0.073455
2017-10-24 01:56:25.44,-0.0777125
2017-10-24 01:56:42.39,-0.0805975
2017-10-24 01:56:59.33,-0.0840525
2017-10-24 01:57:16.28,-0.08864
2017-10-24 01:57:33.22,-0.09261
2017-10-24 01:57:50.17,-0.09519
2017-10-24 01:58:07.11,-0.098205
2017-10-24 01:58:24.06,-0.1016675
2017-10-24 01:58:41.00,-0.1051175
2017-10-24 01:58:57.95,-0.108175
2017-10-24 01:59:14.89,-0.10927
2017-10-24 01:59:31.83,-0.10933
2017-10-24 01:59:48.79,-0.1110275
2017-10-24 02:00:05.77,-0.1124125
2017-10-24 02:00:22.74,-0.1115425
2017-10-24 02:00:39.72,-0.1098725
2017-10-24 02:00:56.69,-0.108985
2017-10-24 02:01:13.67,-0.1086475
2017-10-24 02:01:30.65,-0.1070825
2017-10-24 02:01:47.63,-0.10444
2017-10-24 02:02:04.60,-0.10097
2017-10-24 02:02:21.56,-0.099985
2017-10-24 02:02:38.52,-0.0986775
2017-10-24 02:02:55.49,-0.095185
2017-10-24 02:03:12.46,-0.09214
2017-10-24 02:03:29.43,-0.0905575
2017-10-24 02:03:46.40,-0.0893675
2017-10-24 02:04:03.38,-0.0869475
2017-10-24 02:04:20.35,-0.08393
2017-10-24 02:04:37.32,-0.081205
