Date UTC, Time UTC, Reading
2015-07-30,01:57:06.1,111
2015-07-30,01:57:11.9,111
2015-07-30,01:57:17.6,111
2015-07-30,01:57:23.3,111
2015-07-30,01:57:29.0,111
2015-07-30,01:57:34.8,111
2015-07-30,01:57:40.5,111
2015-07-30,01:57:46.2,111
2015-07-30,01:57:52.0,111
2015-07-30,01:59:12.2,111
2015-07-30,01:59:17.9,111
2015-07-30,01:59:23.6,111
2015-07-30,01:59:46.6,111
2015-07-30,01:59:52.3,111
2015-07-30,01:59:58.0,111
2015-07-30,02:00:03.8,111
2015-07-30,02:00:15.2,111
2015-07-30,02:00:21.0,111
2015-07-30,02:00:26.7,111
2015-07-30,02:00:32.4,111
2015-07-30,02:00:38.1,111
2015-07-30,02:00:43.9,111
2015-07-30,02:00:49.6,111
2015-07-30,02:00:55.3,111
2015-07-30,02:01:01.1,111
2015-07-30,02:03:18.6,111
2015-07-30,02:03:24.3,111
2015-07-30,02:03:30.1,111
2015-07-30,02:03:35.8,111
2015-07-30,02:03:41.5,111
2015-07-30,02:03:47.2,111
2015-07-30,02:03:52.9,111
2015-07-30,02:03:58.7,111
2015-07-30,02:04:04.4,111
2015-07-30,02:04:10.1,111
2015-07-30,02:06:04.8,111
2015-07-30,02:06:10.5,111
2015-07-30,02:06:16.2,111
2015-07-30,02:06:21.9,111
2015-07-30,02:06:27.7,111
2015-07-30,02:07:53.6,111
2015-07-30,02:07:59.4,111
2015-07-30,02:08:05.1,111
2015-07-30,02:08:10.8,111
2015-07-30,02:08:16.6,111
2015-07-30,02:08:22.3,111
2015-07-30,02:08:28.0,111
2015-07-30,02:08:33.7,111
2015-07-30,02:08:39.5,111
2015-07-30,02:08:45.2,111
2015-07-30,02:08:50.9,111
2015-07-30,02:09:25.3,111
2015-07-30,02:09:31.0,111
2015-07-30,02:09:36.8,111
2015-07-30,02:09:42.5,111
2015-07-30,02:09:48.2,111
2015-07-30,02:09:54.0,111
2015-07-30,02:09:59.7,111
2015-07-30,02:10:05.4,111
2015-07-30,02:10:11.1,111
2015-07-30,02:10:16.9,111
2015-07-30,02:10:22.6,111
2015-07-30,02:10:28.3,111
2015-07-30,02:10:34.1,111
2015-07-30,02:10:39.8,111
2015-07-30,02:10:45.5,111
2015-07-30,02:14:46.2,111
2015-07-30,02:14:51.9,111
2015-07-30,02:14:57.6,111
2015-07-30,02:15:03.4,111
2015-07-30,02:15:09.1,111
2015-07-30,02:15:14.8,111
2015-07-30,02:15:20.6,111
2015-07-30,02:15:26.3,111
2015-07-30,02:15:32.0,111
2015-07-30,02:15:37.7,111
2015-07-30,02:15:43.5,111
2015-07-30,02:15:49.2,111
2015-07-30,02:19:32.7,111
2015-07-30,02:19:38.4,111
2015-07-30,02:19:44.1,111
2015-07-30,02:19:49.9,111
2015-07-30,02:19:55.6,111
2015-07-30,02:22:41.8,111
2015-07-30,02:22:47.5,111
2015-07-30,02:22:53.2,111
2015-07-30,02:22:58.9,111
2015-07-30,02:23:04.7,111
2015-07-30,02:23:10.4,111
2015-07-30,02:23:16.1,111
2015-07-30,02:23:21.9,111
2015-07-30,02:23:27.6,111
2015-07-30,02:23:33.3,111
2015-07-30,02:23:39.0,111
2015-07-30,02:23:44.8,111
2015-07-30,02:23:50.5,111
2015-07-30,02:23:56.2,111
2015-07-30,02:24:36.4,111
2015-07-30,02:32:43.4,111
2015-07-30,02:32:49.1,111
2015-07-30,02:32:54.8,111
2015-07-30,02:33:00.6,111
2015-07-30,02:33:06.3,111
2015-07-30,02:33:12.0,111
2015-07-30,02:33:17.8,111
2015-07-30,02:33:23.5,111
2015-07-30,02:33:29.2,111
2015-07-30,02:33:34.9,111
2015-07-30,02:33:40.7,111
2015-07-30,02:33:46.4,111
2015-07-30,02:33:52.1,111
2015-07-30,02:33:57.9,111
2015-07-30,02:34:03.6,111
2015-07-30,03:57:57.2,62
2015-07-30,03:58:13.3,64
2015-07-30,09:34:43.7,114
