DateTime (UTC), magX, magY, magZ
2015-10-27 00:46:35.436902,61,142,-218
2015-10-27 00:46:49.559710,57,150,-235
2015-10-27 00:47:03.698518,58,143,-219
2015-10-27 00:47:17.821326,52,147,-255
2015-10-27 00:47:31.960135,57,143,-233
2015-10-27 00:47:46.082943,56,144,-235
2015-10-27 00:48:00.221751,61,144,-215
2015-10-27 00:48:14.344559,59,144,-218
2015-10-27 00:48:28.482368,56,146,-233
2015-10-27 00:48:42.621176,57,147,-246
2015-10-27 00:48:56.744984,53,145,-255
2015-10-27 00:49:10.882793,57,150,-243
2015-10-27 00:49:25.006601,63,146,-228
2015-10-27 00:49:39.144409,62,145,-217
2015-10-27 00:49:53.268217,58,150,-252
2015-10-27 00:50:07.406026,60,147,-233
2015-10-27 00:50:21.529834,61,144,-211
2015-10-27 00:50:35.667642,59,145,-226
2015-10-27 00:50:49.791450,62,146,-226
2015-10-27 00:51:03.930259,57,149,-259
2015-10-27 00:51:18.053067,60,142,-239
2015-10-27 00:51:32.190875,68,139,-185
2015-10-27 00:51:46.314683,64,145,-205
2015-10-27 00:52:00.452492,65,144,-211
2015-10-27 00:52:14.591300,63,144,-223
2015-10-27 00:52:28.714108,60,143,-236
2015-10-27 00:52:42.852917,68,140,-190
2015-10-27 00:52:56.975725,65,142,-188
2015-10-27 00:53:11.114533,65,144,-226
2015-10-27 00:53:25.237341,65,146,-225
2015-10-27 00:53:39.375150,63,143,-240
2015-10-27 00:53:53.498958,61,143,-221
2015-10-27 00:54:07.636766,63,143,-216
2015-10-27 00:54:21.760574,60,142,-226
2015-10-27 00:54:35.899383,70,137,-188
2015-10-27 00:54:50.022191,65,139,-204
2015-10-27 00:55:04.160999,62,139,-218
2015-10-27 00:55:18.283807,65,137,-223
2015-10-27 00:55:32.422616,64,138,-215
2015-10-27 00:55:46.560424,62,139,-235
2015-10-27 00:56:00.684232,68,142,-212
2015-10-27 00:56:14.822041,66,141,-203
2015-10-27 00:56:28.945849,60,147,-259
2015-10-27 00:56:43.083657,64,143,-229
2015-10-27 00:56:57.207465,71,147,-202
2015-10-27 00:57:11.345274,72,143,-217
2015-10-27 00:57:25.469082,65,140,-217
2015-10-27 00:57:39.606890,64,144,-221
2015-10-27 00:57:53.730698,69,140,-200
2015-10-27 00:58:07.868507,66,146,-217
2015-10-27 00:58:21.992315,67,143,-205
