DateTime (UTC), magX, magY, magZ
2015-10-24 02:46:44.318454,69,-224,-219
2015-10-24 02:46:58.457262,70,-226,-216
2015-10-24 02:47:12.596071,74,-222,-216
2015-10-24 02:47:26.718879,67,-224,-225
2015-10-24 02:47:40.857688,64,-219,-220
2015-10-24 02:47:54.981495,65,-228,-222
2015-10-24 02:48:09.120304,70,-223,-211
2015-10-24 02:48:23.258113,69,-224,-220
2015-10-24 02:48:37.381921,69,-233,-215
2015-10-24 02:48:51.520729,63,-223,-220
2015-10-24 02:49:05.644537,62,-222,-227
2015-10-24 02:49:19.782346,73,-223,-221
2015-10-24 02:49:33.921154,68,-219,-221
2015-10-24 02:49:48.044962,69,-222,-223
2015-10-24 02:50:02.183771,74,-221,-216
2015-10-24 02:50:16.306579,71,-219,-211
2015-10-24 02:50:30.445387,68,-220,-220
2015-10-24 02:50:44.584196,70,-222,-205
2015-10-24 02:50:58.707004,72,-219,-220
2015-10-24 02:51:12.845813,71,-220,-213
2015-10-24 02:51:26.969620,72,-226,-214
2015-10-24 02:51:41.108429,69,-223,-218
2015-10-24 02:51:55.231237,70,-223,-208
2015-10-24 02:52:09.370046,68,-219,-219
2015-10-24 02:52:23.508854,66,-225,-209
2015-10-24 02:52:37.631662,77,-226,-217
2015-10-24 02:52:51.770471,70,-227,-215
2015-10-24 02:53:05.894279,66,-229,-216
2015-10-24 02:53:20.033087,70,-227,-210
2015-10-24 02:53:34.171896,70,-233,-209
2015-10-24 02:53:48.294704,69,-227,-225
2015-10-24 02:54:02.433512,62,-226,-217
2015-10-24 02:54:16.557320,70,-225,-217
2015-10-24 02:54:30.696129,70,-224,-212
2015-10-24 02:54:44.834938,70,-227,-221
2015-10-24 02:54:58.957745,66,-228,-222
2015-10-24 02:55:13.096554,69,-227,-214
2015-10-24 02:55:27.220362,65,-222,-223
2015-10-24 02:55:41.359171,67,-228,-221
2015-10-24 02:55:55.496979,72,-222,-215
2015-10-24 02:56:09.620787,66,-222,-218
2015-10-24 02:56:23.759596,67,-229,-214
2015-10-24 02:56:37.882404,67,-227,-214
2015-10-24 02:56:52.021212,65,-227,-204
2015-10-24 02:57:06.160021,70,-230,-211
2015-10-24 02:57:20.283829,66,-226,-220
2015-10-24 02:57:34.422638,66,-223,-205
2015-10-24 02:57:48.545445,68,-228,-212
2015-10-24 02:58:02.684254,70,-226,-204
2015-10-24 02:58:16.823063,67,-227,-208
2015-10-24 02:58:30.946871,70,-227,-210
2015-10-24 02:58:45.085679,75,-227,-205
2015-10-24 02:58:59.208487,73,-230,-217
2015-10-24 02:59:13.347296,74,-226,-208
2015-10-24 02:59:27.486104,76,-232,-211
2015-10-24 02:59:41.609912,70,-227,-219
2015-10-24 02:59:55.748721,72,-227,-215
2015-10-24 03:00:09.871529,74,-228,-211
2015-10-24 03:00:24.010337,69,-229,-210
2015-10-24 03:00:38.149146,71,-228,-206
2015-10-24 03:00:52.272954,74,-227,-215
2015-10-24 03:01:06.410763,70,-229,-213
2015-10-24 03:01:20.534570,73,-223,-216
2015-10-24 03:01:34.673379,70,-225,-221
2015-10-24 03:01:48.812188,73,-229,-215
2015-10-24 03:02:02.935996,72,-227,-212
2015-10-24 03:02:17.074804,74,-229,-215
2015-10-24 03:02:31.197612,70,-219,-214
2015-10-24 03:02:45.336421,72,-226,-202
2015-10-24 03:02:59.475229,71,-224,-220
2015-10-24 03:03:13.598037,69,-219,-206
2015-10-24 03:03:27.736846,76,-226,-209
2015-10-24 03:03:41.860654,73,-224,-213
2015-10-24 03:03:55.999462,73,-229,-200
2015-10-24 03:04:10.138271,70,-222,-215
2015-10-24 03:04:24.261079,74,-230,-211
2015-10-24 03:04:38.399888,69,-227,-216
2015-10-24 03:04:52.523695,67,-218,-218
2015-10-24 03:05:06.662504,67,-224,-209
2015-10-24 03:05:20.801313,74,-222,-214
2015-10-24 03:05:34.924121,70,-223,-210
2015-10-24 03:05:49.062929,75,-220,-211
2015-10-24 03:06:03.185737,69,-222,-212
2015-10-24 03:06:17.324546,70,-229,-217
2015-10-24 03:06:31.448354,68,-226,-210
2015-10-24 03:06:45.587162,73,-232,-207
2015-10-24 03:06:59.725971,70,-225,-213
2015-10-24 03:07:13.848779,67,-225,-211
2015-10-24 03:07:27.987588,66,-228,-208
2015-10-24 03:07:42.110395,68,-225,-211
2015-10-24 03:07:56.250204,69,-223,-214
2015-10-24 03:08:10.388013,67,-225,-220
2015-10-24 03:08:24.511821,66,-220,-215
2015-10-24 03:08:38.650629,73,-223,-218
