Date/Time (UTC), Ultra-smoothed Differences
2015-12-20 04:56:01.363975,-0.328
2015-12-20 04:56:17.497897,-0.39
2015-12-20 04:56:33.631820,-0.442
2015-12-20 04:56:49.749742,-0.492
2015-12-20 04:57:05.883665,-0.552
2015-12-20 04:57:22.017588,-0.595
2015-12-20 04:57:38.150510,-0.638
2015-12-20 04:57:54.284433,-0.678
2015-12-20 04:58:10.417356,-0.715
2015-12-20 04:58:26.551279,-0.75
2015-12-20 04:58:42.685202,-0.775
2015-12-20 04:58:58.819124,-0.8
2015-12-20 04:59:14.952047,-0.832
2015-12-20 04:59:31.085970,-0.858
2015-12-20 04:59:47.219893,-0.878
2015-12-20 05:00:03.353816,-0.892
2015-12-20 05:00:19.471737,-0.902
2015-12-20 05:00:35.605660,-0.91
2015-12-20 05:00:51.738583,-0.912
2015-12-20 05:01:07.873506,-0.918
2015-12-20 05:01:24.006429,-0.912
2015-12-20 05:01:40.140351,-0.908
2015-12-20 05:01:56.273274,-0.895
2015-12-20 05:02:12.407197,-0.878
2015-12-20 05:02:28.540120,-0.862
2015-12-20 05:02:44.660042,-0.852
2015-12-20 05:03:00.792964,-0.835
2015-12-20 05:03:16.926887,-0.812
2015-12-20 05:03:33.059810,-0.788
2015-12-20 05:03:49.193733,-0.755
2015-12-20 05:04:05.327656,-0.722
2015-12-20 05:04:21.460578,-0.695
2015-12-20 05:04:37.594501,-0.655
2015-12-20 05:04:53.728424,-0.615
2015-12-20 05:05:09.861347,-0.578
2015-12-20 05:05:25.908283,-0.528
2015-12-20 05:05:42.042205,-0.48
2015-12-20 05:05:58.160127,-0.432
2015-12-20 05:06:14.294050,-0.395
2015-12-20 05:06:30.426973,-0.348
2015-12-20 05:06:46.560896,-0.305
2015-12-20 05:07:02.694818,-0.26
2015-12-20 05:07:18.827741,-0.226
2015-12-20 05:07:34.961664,-0.194
2015-12-20 05:07:51.095587,-0.162
2015-12-20 05:08:07.228510,-0.141
2015-12-20 05:08:23.362432,-0.115
2015-12-20 05:08:39.496355,-0.086
2015-12-20 05:08:55.630278,-0.0562
2015-12-20 05:09:11.763201,-0.0249
2015-12-20 05:09:27.897124,0.0035
2015-12-20 05:09:44.015045,0.03
2015-12-20 05:10:00.148968,0.0585
2015-12-20 05:10:16.282891,0.081
2015-12-20 05:10:32.416814,0.102
2015-12-20 05:10:48.549737,0.114
2015-12-20 05:11:04.683659,0.125
2015-12-20 05:11:20.817582,0.136
2015-12-20 05:11:36.951505,0.144
2015-12-20 05:11:53.085428,0.155
2015-12-20 05:12:09.219351,0.154
2015-12-20 05:12:25.352273,0.162
2015-12-20 05:12:41.486196,0.160
2015-12-20 05:12:57.620119,0.159
2015-12-20 05:13:13.738041,0.161
2015-12-20 05:13:29.871964,0.167
2015-12-20 05:13:46.005887,0.170
2015-12-20 05:14:02.138809,0.168
2015-12-20 05:14:18.271732,0.161
2015-12-20 05:14:34.406655,0.152
2015-12-20 05:14:50.539578,0.135
2015-12-20 05:15:06.673500,0.122
2015-12-20 05:15:22.807423,0.104
2015-12-20 05:15:38.940346,0.0852
2015-12-20 05:15:55.074269,0.0688
2015-12-20 05:16:11.208192,0.056
2015-12-20 05:16:27.341114,0.0448
2015-12-20 05:16:43.460036,0.033
2015-12-20 05:16:59.592959,0.0249
2015-12-20 05:17:15.726882,0.0119
2015-12-20 05:17:31.860805,-0.00225
2015-12-20 05:17:47.993727,-0.014
2015-12-20 05:18:04.127650,-0.0136
2015-12-20 05:18:20.261573,-0.00738
2015-12-20 05:18:36.395496,0.00175
2015-12-20 05:18:52.529419,0.0109
2015-12-20 05:19:08.647341,0.0211
2015-12-20 05:19:24.781263,0.0268
2015-12-20 05:19:40.914186,0.0322
2015-12-20 05:19:57.048109,0.0312
2015-12-20 05:20:13.182032,0.034
2015-12-20 05:20:29.314955,0.036
2015-12-20 05:20:45.448877,0.0365
2015-12-20 05:21:01.582800,0.0418
2015-12-20 05:21:17.715723,0.0528
2015-12-20 05:21:33.850646,0.0705
2015-12-20 05:21:49.968568,0.0838
2015-12-20 05:22:06.101490,0.098
2015-12-20 05:22:22.235413,0.115
2015-12-20 05:22:38.368336,0.135
2015-12-20 05:22:54.502259,0.158
2015-12-20 05:23:10.635181,0.185
2015-12-20 05:23:26.769104,0.216
2015-12-20 05:23:42.903027,0.236
2015-12-20 05:23:59.035950,0.248
2015-12-20 05:24:15.154872,0.265
2015-12-20 05:24:31.287795,0.275
2015-12-20 05:24:47.421717,0.285
2015-12-20 05:25:03.555640,0.295
2015-12-20 05:25:19.688563,0.312
2015-12-20 05:25:35.822486,0.335
2015-12-20 05:25:51.956409,0.362
2015-12-20 05:26:08.090331,0.392
2015-12-20 05:26:24.223254,0.418
2015-12-20 05:26:40.357177,0.435
2015-12-20 05:26:56.490100,0.442
2015-12-20 05:27:12.609022,0.442
2015-12-20 05:27:28.742944,0.442
2015-12-20 05:27:44.875867,0.438
2015-12-20 05:28:01.008790,0.438
2015-12-20 05:28:17.143713,0.435
2015-12-20 05:28:33.276636,0.438
2015-12-20 05:28:49.410558,0.43
2015-12-20 05:29:05.544481,0.422
2015-12-20 05:29:21.678404,0.41
2015-12-20 05:29:37.811327,0.4
2015-12-20 05:29:53.930249,0.382
2015-12-20 05:30:10.064171,0.368
2015-12-20 05:30:26.197094,0.348
2015-12-20 05:30:42.330017,0.33
2015-12-20 05:30:58.464940,0.318
2015-12-20 05:31:14.597863,0.305
2015-12-20 05:31:30.731785,0.295
2015-12-20 05:31:46.864708,0.28
2015-12-20 05:32:02.998631,0.262
2015-12-20 05:32:19.132554,0.24
2015-12-20 05:32:35.250476,0.226
2015-12-20 05:32:51.383398,0.205
2015-12-20 05:33:07.517321,0.18
2015-12-20 05:33:23.651244,0.156
2015-12-20 05:33:39.787167,0.13
2015-12-20 05:33:55.919090,0.0855
2015-12-20 05:34:12.052012,0.0468
2015-12-20 05:34:28.185935,0.0192
2015-12-20 05:34:44.318858,-0.000625
2015-12-20 05:35:00.452781,-0.0268
2015-12-20 05:35:16.585703,-0.0548
2015-12-20 05:35:32.704625,-0.0702
2015-12-20 05:35:48.838548,-0.0835
2015-12-20 05:36:04.971471,-0.105
2015-12-20 05:36:21.104394,-0.13
2015-12-20 05:36:37.238317,-0.152
2015-12-20 05:36:53.372239,-0.179
2015-12-20 05:37:09.505162,-0.195
2015-12-20 05:37:25.639085,-0.202
2015-12-20 05:37:41.773008,-0.201
2015-12-20 05:37:57.906931,-0.197
2015-12-20 05:38:14.040853,-0.191
2015-12-20 05:38:30.158775,-0.184
2015-12-20 05:38:46.292698,-0.175
2015-12-20 05:39:02.425621,-0.169
2015-12-20 05:39:18.559544,-0.164
2015-12-20 05:39:34.693466,-0.160
2015-12-20 05:39:50.827389,-0.158
2015-12-20 05:40:06.960312,-0.148
2015-12-20 05:40:23.094235,-0.136
2015-12-20 05:40:39.228158,-0.116
2015-12-20 05:40:55.362080,-0.097
2015-12-20 05:41:11.495003,-0.0775
2015-12-20 05:41:27.628926,-0.0602
2015-12-20 05:41:43.761849,-0.0508
2015-12-20 05:41:59.880771,-0.0382
2015-12-20 05:42:16.013693,-0.0262
2015-12-20 05:42:32.147616,-0.0176
2015-12-20 05:42:48.281539,-0.0109
2015-12-20 05:43:04.414462,0.000875
2015-12-20 05:43:20.548385,0.00312
2015-12-20 05:43:36.682307,0.0122
2015-12-20 05:43:52.815230,0.0229
2015-12-20 05:44:08.949153,0.029
2015-12-20 05:44:25.083076,0.0385
2015-12-20 05:44:41.215998,0.0578
2015-12-20 05:44:57.333920,0.0668
2015-12-20 05:45:13.468843,0.0738
2015-12-20 05:45:29.601766,0.0775
2015-12-20 05:45:45.735689,0.082
2015-12-20 05:46:01.868612,0.0925
2015-12-20 05:46:18.003534,0.0975
2015-12-20 05:46:34.136457,0.104
2015-12-20 05:46:50.270380,0.111
2015-12-20 05:47:06.403303,0.117
2015-12-20 05:47:22.537226,0.123
2015-12-20 05:47:38.671148,0.128
2015-12-20 05:47:54.790070,0.123
2015-12-20 05:48:10.922993,0.115
2015-12-20 05:48:27.056916,0.104
2015-12-20 05:48:43.189839,0.0958
2015-12-20 05:48:59.323761,0.0868
2015-12-20 05:49:15.457684,0.0782
2015-12-20 05:49:31.591607,0.0708
2015-12-20 05:49:47.724530,0.0612
2015-12-20 05:50:03.858453,0.0498
2015-12-20 05:50:19.992375,0.043
2015-12-20 05:50:36.125298,0.0375
2015-12-20 05:50:52.259221,0.0272
2015-12-20 05:51:08.377143,0.0146
2015-12-20 05:51:24.511066,-0.00375
2015-12-20 05:51:40.644988,-0.019
2015-12-20 05:51:56.777911,-0.0338
2015-12-20 05:52:12.911834,-0.047
2015-12-20 05:52:29.045757,-0.0542
2015-12-20 05:52:45.179680,-0.0698
2015-12-20 05:53:01.312602,-0.0825
2015-12-20 05:53:17.446525,-0.093
2015-12-20 05:53:33.580448,-0.0995
2015-12-20 05:53:49.714371,-0.113
2015-12-20 05:54:05.847294,-0.114
2015-12-20 05:54:21.966216,-0.124
2015-12-20 05:54:38.099138,-0.131
2015-12-20 05:54:54.233061,-0.137
2015-12-20 05:55:10.365984,-0.145
2015-12-20 05:55:26.499907,-0.154
2015-12-20 05:55:42.633829,-0.152
2015-12-20 05:55:58.766752,-0.157
2015-12-20 05:56:14.900675,-0.156
2015-12-20 05:56:31.034598,-0.156
2015-12-20 05:56:47.168521,-0.160
2015-12-20 05:57:03.301443,-0.160
2015-12-20 05:57:19.435366,-0.166
2015-12-20 05:57:35.569289,-0.172
2015-12-20 05:57:51.686211,-0.173
2015-12-20 05:58:07.820134,-0.176
2015-12-20 05:58:23.954056,-0.175
2015-12-20 05:58:40.087979,-0.172
2015-12-20 05:58:56.221902,-0.168
2015-12-20 05:59:12.354825,-0.165
2015-12-20 05:59:28.488748,-0.159
2015-12-20 05:59:44.621670,-0.154
2015-12-20 06:00:00.755593,-0.151
2015-12-20 06:00:16.889516,-0.150
2015-12-20 06:00:33.007438,-0.144
2015-12-20 06:00:49.141361,-0.134
2015-12-20 06:01:05.275283,-0.13
2015-12-20 06:01:21.409206,-0.125
2015-12-20 06:01:37.542129,-0.123
2015-12-20 06:01:53.676052,-0.119
2015-12-20 06:02:09.809975,-0.113
2015-12-20 06:02:25.943897,-0.109
2015-12-20 06:02:42.077820,-0.102
2015-12-20 06:02:58.211743,-0.0975
2015-12-20 06:03:14.344666,-0.0925
2015-12-20 06:03:30.462588,-0.0842
2015-12-20 06:03:46.596511,-0.0848
2015-12-20 06:04:02.730433,-0.0815
2015-12-20 06:04:18.864356,-0.0828
2015-12-20 06:04:34.998279,-0.0778
2015-12-20 06:04:51.131202,-0.084
2015-12-20 06:05:07.265124,-0.0798
2015-12-20 06:05:23.399047,-0.0778
2015-12-20 06:05:39.455397,-0.0762
2015-12-20 06:05:55.589320,-0.0715
2015-12-20 06:06:11.707242,-0.0668
2015-12-20 06:06:27.841164,-0.0725
2015-12-20 06:06:43.974087,-0.0688
2015-12-20 06:07:00.108010,-0.0735
2015-12-20 06:07:16.242933,-0.0765
2015-12-20 06:07:32.375855,-0.0768
2015-12-20 06:07:48.509778,-0.0825
2015-12-20 06:08:04.643701,-0.0838
2015-12-20 06:08:20.761623,-0.082
2015-12-20 06:08:36.895546,-0.0835
2015-12-20 06:08:53.028469,-0.084
2015-12-20 06:09:09.162391,-0.0898
2015-12-20 06:09:25.296314,-0.093
2015-12-20 06:09:41.430237,-0.0962
2015-12-20 06:09:57.563160,-0.0952
2015-12-20 06:10:13.697083,-0.107
2015-12-20 06:10:29.831005,-0.113
2015-12-20 06:10:45.964928,-0.12
2015-12-20 06:11:02.082850,-0.126
2015-12-20 06:11:18.216773,-0.138
2015-12-20 06:11:34.350696,-0.149
2015-12-20 06:11:50.484618,-0.154
2015-12-20 06:12:06.618541,-0.164
2015-12-20 06:12:22.751464,-0.168
2015-12-20 06:12:38.885387,-0.175
2015-12-20 06:12:55.019310,-0.184
2015-12-20 06:13:11.153232,-0.192
2015-12-20 06:13:27.287155,-0.200
2015-12-20 06:13:43.421078,-0.210
2015-12-20 06:13:59.554001,-0.223
2015-12-20 06:14:15.672923,-0.228
2015-12-20 06:14:31.806846,-0.228
2015-12-20 06:14:47.939768,-0.230
2015-12-20 06:15:04.074691,-0.228
2015-12-20 06:15:20.207614,-0.229
2015-12-20 06:15:36.340537,-0.222
2015-12-20 06:15:52.474459,-0.227
2015-12-20 06:16:08.608382,-0.226
2015-12-20 06:16:24.742305,-0.227
2015-12-20 06:16:40.876228,-0.233
2015-12-20 06:16:57.010151,-0.240
